Comando,Posicao,Direcao,Sensor Esquerdo,Sensor Frente,Sensor Direito,Compartimento
INFO,"(1, 1)",3,Iniciando busca pelo humano,SEM CARGA
ERRO,"(1, 1)",3,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (20,) + inhomogeneous part.",SEM CARGA
